Vendor,Product,Pricing_Model,User_Count,USD_Per_User_Per_Month_Low,USD_Per_User_Per_Month_High,FX_NGN_Per_USD,Annual_Subscription_NGN_Low,Annual_Subscription_NGN_High,Implementation_NGN_Low,Implementation_NGN_High,5_Year_Licenses_NGN_Low,5_Year_Licenses_NGN_High,5_Year_TCO_NGN_Low,5_Year_TCO_NGN_High,5_Year_TCO_Per_User_NGN,Price_Scales_With_Users,Notes
NPA-ECM,NPA Enterprise ECM,Fixed project cap (unlimited internal users),840,0,0,1388,70000000,80000000,0,0,350000000,350000000,470000000,550000000,559524,No,Same cap covers all NPA staff; 840 is rollout subset
NPA-ECM,NPA Enterprise ECM,Fixed project cap (unlimited internal users),3000,0,0,1388,70000000,80000000,0,0,350000000,350000000,470000000,550000000,156667,No,IDENTICAL total to 840-user row — accommodates full headcount
Microsoft,Microsoft 365 E3 (SharePoint path),Per user subscription,840,39,39,1388,545545920,545545920,208064000,693546667,2727729600,2727729600,3200000000,4500000000,3809524,Yes,Licenses only low; high includes PS
Microsoft,Microsoft 365 E3 (SharePoint path),Per user subscription,3000,39,39,1388,1948320000,1948320000,416128000,1387093333,9741600000,9741600000,11000000000,15000000000,3666667,Yes,3.57x subscription vs 840 users
Microsoft,Microsoft 365 E5,Per user subscription,840,60,60,1388,839616000,839616000,208064000,693546667,4198080000,4198080000,4700000000,6200000000,5595238,Yes,Advanced security tier
Microsoft,Microsoft 365 E5,Per user subscription,3000,60,60,1388,2998080000,2998080000,555000000,1664000000,14990400000,14990400000,16500000000,22000000000,5500000,Yes,Full headcount E5
OpenText,Content Suite,Quote per user,840,50,120,1388,698880000,1677312000,416128000,1664512000,3494400000,8386560000,5000000000,12000000000,5952381,Yes,Enterprise records platform
OpenText,Content Suite,Quote per user,3000,50,120,1388,2496000000,5984640000,1387093333,2774186667,12480000000,29923200000,15000000000,35000000000,5000000,Yes,Scales linearly with seats
IBM,FileNet / Cloud Pak,Per user or VPC equivalent,840,100,200,1388,1391040000,2782080000,277418667,2774186667,6955200000,13910400000,8000000000,18000000000,9523810,Yes,Among highest TCO
IBM,FileNet / Cloud Pak,Per user or VPC equivalent,3000,100,200,1388,4968000000,9936000000,1387093333,4161280000,24840000000,49680000000,28000000000,65000000000,8666667,Yes,National authority scale
Hyland,OnBase,Quote only,840,80,200,1388,1112832000,2782080000,208064000,1109760000,5564160000,13910400000,6500000000,16000000000,7738095,Yes,BPM and correspondence analog
Hyland,OnBase,Quote only,3000,80,200,1388,3982080000,9936000000,1387093333,2774186667,19910400000,49680000000,23000000000,58000000000,7666667,Yes,Per-seat multiplies at 3000
Laserfiche,Cloud Business (records),Per user subscription,840,93,93,1388,1299931200,1299931200,138709333,554837333,6499656000,6499656000,7500000000,9500000000,8928571,Yes,Published Business tier
Laserfiche,Cloud Business (records),Per user subscription,3000,93,93,1388,4647120000,4647120000,554837333,1387093333,23235600000,23235600000,25000000000,32000000000,8333333,Yes,One year subs ~10x NPA 5yr TCO
M-Files,Enterprise,Quote per user,840,100,150,1388,1391040000,2086560000,97216000,485920000,6955200000,10432800000,7500000000,12000000000,8928571,Yes,Metadata ECM
M-Files,Enterprise,Quote per user,3000,100,150,1388,4968000000,7452000000,416128000,1387093333,24840000000,37260000000,28000000000,42000000000,9333333,Yes,Enterprise quote at scale
M-Files,Essentials,Per user subscription,840,65,65,1388,909216000,909216000,97216000,277418667,4546080000,4546080000,5000000000,6500000000,5952381,Yes,Entry tier
M-Files,Essentials,Per user subscription,3000,65,65,1388,3248400000,3248400000,277418667,1109760000,16242000000,16242000000,18000000000,24000000000,6000000,Yes,Full org on Essentials
Box,Enterprise,Per user subscription,840,35,35,1388,489888000,489888000,69354667,277418667,2449440000,2449440000,2800000000,3500000000,3333333,Yes,Cloud file sharing
Box,Enterprise,Per user subscription,3000,35,35,1388,1749600000,1749600000,138709333,554837333,8748000000,8748000000,9500000000,12000000000,3166667,Yes,3000 seats multiply cost
DocuWare,Cloud (volume avg),Per user subscription,840,40,71,1388,559488000,993408000,110976000,416128000,2797440000,4967040000,3200000000,5500000000,3809524,Yes,Workflow included
DocuWare,Cloud (volume avg),Per user subscription,3000,40,71,1388,1996800000,3543840000,416128000,1387093333,9984000000,17719200000,11000000000,22000000000,3666667,Yes,Volume discount may apply
Adobe,AEM Assets/Forms,Enterprise quote,840,0,0,1388,0,0,277418667,2774186667,4000000000,10000000000,4500000000,12000000000,5357143,Yes,Poor fit internal correspondence
Adobe,AEM Assets/Forms,Enterprise quote,3000,0,0,1388,0,0,1387093333,4161280000,12000000000,30000000000,14000000000,38000000000,4666667,Yes,Marketing DAM category
Alfresco,Enterprise,Subscription plus PS,840,40,100,1388,559488000,1398720000,138709333,693546667,2797440000,6993600000,3200000000,8000000000,3809524,Yes,Developer platform
Alfresco,Enterprise,Subscription plus PS,3000,40,100,1388,1996800000,4992000000,693546667,2080640000,9984000000,24960000000,12000000000,30000000000,4000000,Yes,PS heavy at scale
